region,legacy_dist_id,legacy_name,new_name,capital,category,pop2010,pop2021,status
Upper East,195,Kassena-Nankana East Municipal,Kassena-Nankana Municipal,Navrongo,Municipal,110235,144730,MATCHED_FUZZY
Upper East,196,Kassena-Nankana West,Kassena-Nankana West,Paga,District,68234,89570,MATCHED_EXACT
Upper East,200,Nabdam,Nabdam,Nangodi,District,45231,59390,MATCHED_EXACT
Upper East,203,Pusiga,Pusiga,Pusiga,District,46781,61440,MATCHED_EXACT
Upper East,199,Talensi,Talensi,Tongo,District,62341,81870,MATCHED_EXACT
Upper East,204,Garu-Tempane,Tempane,Tempane,District,57810,75920,MATCHED_FUZZY
Upper West,210,Daffiama-Bussie-Issa,Daffiama-Bussie-Issa,Issa,District,46231,60720,MATCHED_EXACT
Upper West,211,Jirapa,Jirapa Municipal,Jirapa,Municipal,84321,110780,MATCHED_EXACT
Upper West,212,Lambussie-Karni,Lambussie-Karni,Lambussie,District,42341,55620,MATCHED_EXACT
Upper West,213,Lawra,Lawra Municipal,Lawra,Municipal,78231,102720,MATCHED_EXACT
Upper West,209,Nadowli-Kaleo,Nadowli-Kaleo,Nadowli,District,72341,94980,MATCHED_EXACT
Upper West,214,Nandom,Nandom Municipal,Nandom,Municipal,68231,89580,MATCHED_EXACT
Upper West,216,Sissala East,Sissala East Municipal,Tumu,Municipal,78321,102850,MATCHED_EXACT
Upper West,215,Sissala West,Sissala West,Gwollu,District,56231,73860,MATCHED_EXACT
Upper West,208,Wa East,Wa East,Funsi,District,54231,71220,MATCHED_EXACT
Upper West,206,Wa Municipal,Wa Municipal,Wa,Municipal,108498,142440,MATCHED_EXACT
Upper West,207,Wa West,Wa West,Wechiau,District,63820,83820,MATCHED_EXACT
Volta,67,Adaklu,Adaklu,Adaklu Waya,District,42120,55310,MATCHED_EXACT
Volta,75,Afadjato South,Afadzato South,Ve Golokwati,District,54320,71280,MATCHED_FUZZY
Volta,68,Agotime-Ziope,Agotime-Ziope,Kpetoe,District,58340,76570,MATCHED_EXACT
Volta,63,Akatsi North,Akatsi North,Ave-Dakpa,District,72340,94930,MATCHED_EXACT
Volta,62,Akatsi South,Akatsi South,Akatsi,District,89230,117130,MATCHED_EXACT
Volta,,,Anloga,Anloga,District,95230,125050,NEW
Volta,65,Central Tongu,Central Tongu,Adidome,District,68120,89400,MATCHED_EXACT
Volta,69,Ho Municipal,Ho Municipal,Ho,Municipal,177281,232670,MATCHED_EXACT
Volta,70,Ho West,Ho West,Dzolokpuita,District,58120,76270,MATCHED_EXACT
Volta,74,Hohoe Municipal,Hohoe Municipal,Hohoe,Municipal,133641,175440,MATCHED_EXACT
Volta,59,Keta Municipal,Keta Municipal,Keta,Municipal,98450,129280,MATCHED_EXACT
Volta,61,Ketu North,Ketu North Municipal,Dzodze,Municipal,108230,142060,MATCHED_EXACT
Volta,60,Ketu South Municipal,Ketu South Municipal,Denu,Municipal,150452,197490,MATCHED_EXACT
Volta,72,Kpando Municipal,Kpando Municipal,Kpando,Municipal,97340,127760,MATCHED_EXACT
Volta,73,North Dayi,North Dayi,Anfoega,District,53120,69730,MATCHED_EXACT
Volta,66,North Tongu,North Tongu,Battor Dugame,District,72340,94950,MATCHED_EXACT
Volta,71,South Dayi,South Dayi,Kpeve,District,55230,72540,MATCHED_EXACT
Volta,64,South Tongu,South Tongu,Sogakope,District,63120,82870,MATCHED_EXACT
Western,4,Ahanta West,Ahanta West Municipal,Agona Nkwanta,Municipal,89230,117110,MATCHED_EXACT
Western,,,Effia-Kwesimintsim Municipal,Kwesimintsim,Municipal,115230,151220,NEW
Western,2,Ellembelle,Ellembelle,Nkroful,District,78230,102690,MATCHED_EXACT
Western,1,Jomoro,Jomoro Municipal,Half Assini,Municipal,88120,115680,MATCHED_EXACT
Western,8,Mpohor,Mpohor,Mpohor,District,46120,60530,MATCHED_EXACT
Western,3,Nzema East Municipal,Nzema East Municipal,Axim,Municipal,78230,102700,MATCHED_EXACT
Western,10,Prestea-Huni Valley,Prestea-Huni Valley Municipal,Prestea,Municipal,144230,189320,MATCHED_EXACT
Western,5,Sekondi-Takoradi Metropolis,Sekondi-Takoradi Metropolitan,Sekondi-Takoradi,Metropolitan,445205,584270,MATCHED_EXACT
Western,6,Shama,Shama,Shama,District,65230,85610,MATCHED_EXACT
Western,9,Tarkwa-Nsuaem Municipal,Tarkwa-Nsuaem Municipal,Tarkwa,Municipal,152170,199720,MATCHED_EXACT
Western,12,Amenfi Central,Wassa Amenfi Central,Asankragwa,District,104230,136840,MATCHED_FUZZY
Western,11,Amenfi East,Wassa Amenfi East Municipal,Wassa Akropong,Municipal,86230,113200,MATCHED_FUZZY
Western,13,Amenfi West,Wassa Amenfi West,Manso Amenfi,District,58230,76440,MATCHED_FUZZY
Western,7,Wassa East,Wassa East,Daboase,District,102230,134180,MATCHED_EXACT
Western North,22,Bia East,Bia East,Sefwi Debiso,District,56230,73840,MATCHED_EXACT
Western North,21,Bia West,Bia West,Sefwi Essam,District,48230,63340,MATCHED_EXACT
Western North,20,Bodi,Bodi,Bodi,District,52120,68430,MATCHED_EXACT
Western North,19,Juaboso,Juaboso,Juaboso,District,67230,88280,MATCHED_EXACT
Western North,18,Sefwi Akontombra,Sefwi Akontombra,Akontombra,District,46120,60550,MATCHED_EXACT
Western North,16,Bibiani-Anhwiaso-Bekwai,Sefwi Bibiani-Anhwiaso-Bekwai Municipal,Bibiani,Municipal,145230,190620,MATCHED_FUZZY
Western North,17,Sefwi Wiawso,Sefwi Wiawso Municipal,Sefwi Wiawso,Municipal,95230,125010,MATCHED_EXACT
Western North,15,Suaman,Suaman,Dadieso,District,43120,56610,MATCHED_EXACT
Western North,14,Aowin,Aowin Municipal,Enchi,Municipal,,129721,MATCHED_MANUAL_ADDED
Eastern,,(successor of dissolved East Akim Municipal; id 102),Abuakwa North Municipal,Kukurantumi,Municipal,73580,97450,NEW_SPLIT
Eastern,,(successor of dissolved East Akim Municipal; id 102),Abuakwa South Municipal,Kibi,Municipal,85263,102430,NEW_SPLIT
